"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"Gene"	"sig"	"log10Pval"	"fcpos"
"ENSG00000236956.2-NF1P8"	1.07604346824132	0.842836670773546	6.79790634045086	7.4669124297743e-08	3.40891606449739e-05	8.05365100088084	"ENSG00000236956.2-NF1P8"	TRUE	4.46738369198742	TRUE
"ENSG00000254656.2-RTL1"	-3.11499271385546	2.85837975232528	-6.77125985639374	8.08094983783561e-08	3.63654286916656e-05	7.97894670294247	"ENSG00000254656.2-RTL1"	TRUE	4.43931128840803	FALSE
"ENSG00000172663.9-TMEM134"	27.5244791052097	63.5028839441685	6.76617458632703	8.2038010675976e-08	3.63983010465341e-05	7.96468284407357	"ENSG00000172663.9-TMEM134"	TRUE	4.43891888732169	TRUE
"ENSG00000187773.8-DIPK1C"	2.38108527242223	2.58491517393765	6.75114234234945	8.57808372922562e-08	3.753030771588e-05	7.92250510649449	"ENSG00000187773.8-DIPK1C"	TRUE	4.42561787473531	TRUE
"ENSG00000132688.11-NES"	-105.537649370219	284.677366232572	-6.7132021287196	9.60119424249899e-08	4.14311260045152e-05	7.81596475940532	"ENSG00000132688.11-NES"	TRUE	4.38267326339728	FALSE
"ENSG00000179242.16-CDH4"	7.27496696562291	14.4401348314927	6.64570839362743	1.17352976207464e-07	4.92446893258258e-05	7.62613447735411	"ENSG00000179242.16-CDH4"	TRUE	4.307640598077	TRUE
"ENSG00000100316.16-RPL3"	261.777035207134	2743.73626954833	6.64156609529546	1.18808812061927e-07	4.92446893258258e-05	7.6144717839152	"ENSG00000100316.16-RPL3"	TRUE	4.307640598077	TRUE
"ENSG00000122756.15-CNTFR"	27.760525743657	35.8532912652922	6.63486921625679	1.21201087100328e-07	4.95838369447719e-05	7.59561369910424	"ENSG00000122756.15-CNTFR"	TRUE	4.30465986926917	TRUE
"ENSG00000125355.15-TMEM255A"	3.57594227304435	6.12593086262011	6.62661334016357	1.24217219334147e-07	5.01662387980123e-05	7.57236058216188	"ENSG00000125355.15-TMEM255A"	TRUE	4.2995884588786	TRUE
"ENSG00000164603.12-BMT2"	3.4264827005578	11.4416588818346	6.61408483216093	1.28939464636985e-07	5.14142034877174e-05	7.53706294837234	"ENSG00000164603.12-BMT2"	TRUE	4.28891688792654	TRUE
"ENSG00000160111.13-CPAMD8"	10.0017512786978	20.802761982383	6.58835271933502	1.39213774922782e-07	5.48171640480321e-05	7.46452671584191	"ENSG00000160111.13-CPAMD8"	TRUE	4.26108343632934	TRUE
"ENSG00000181404.17-WASHC1"	9.91448073386472	12.3290861887414	6.57860251234927	1.43319021110358e-07	5.57369442468814e-05	7.43702833685906	"ENSG00000181404.17-WASHC1"	TRUE	4.2538568449714	TRUE
"ENSG00000154079.6-SDHAF4"	18.3501190748161	28.9449344675542	6.56592445223073	1.48840051076385e-07	5.71781762067953e-05	7.40126158782992	"ENSG00000154079.6-SDHAF4"	TRUE	4.24276970130326	TRUE
"ENSG00000138107.13-ACTR1A"	25.3758079081932	113.020881492509	6.54137859680781	1.60146007784912e-07	6.07802336293076e-05	7.33197909808726	"ENSG00000138107.13-ACTR1A"	TRUE	4.21623763489569	TRUE
"ENSG00000165475.15-CRYL1"	3.53399085635662	5.36141878121837	6.51653754977951	1.72469642971024e-07	6.46781693241695e-05	7.26181734574254	"ENSG00000165475.15-CRYL1"	TRUE	4.18924228103006	TRUE
"ENSG00000073969.18-NSF"	-5.78419099634693	21.7590952434286	-6.48822315790188	1.87686261321325e-07	6.95565284456831e-05	7.18179005600262	"ENSG00000073969.18-NSF"	TRUE	4.15766210169099	FALSE
"ENSG00000007372.23-PAX6"	52.9676239981185	86.2377702812727	6.45292144710233	2.08566779249768e-07	7.6396071083104e-05	7.08193342771115	"ENSG00000007372.23-PAX6"	TRUE	4.11692897585891	TRUE
"ENSG00000182841.12-RRP7BP"	16.4304781371474	32.8180109483105	6.43789236286361	2.18152081584728e-07	7.8988606000006e-05	7.03939472513341	"ENSG00000182841.12-RRP7BP"	TRUE	4.10243555058555	TRUE
"ENSG00000187627.15-RGPD1"	4.21437805541263	2.50232491688455	6.42983818097004	2.23470214853249e-07	7.94012263333721e-05	7.016591566686	"ENSG00000187627.15-RGPD1"	TRUE	4.10017278994439	TRUE
"ENSG00000186480.13-INSIG1"	-31.875589440668	72.6670029963482	-6.42854995536431	2.2433285113711e-07	7.94012263333721e-05	7.01294390599976	"ENSG00000186480.13-INSIG1"	TRUE	4.10017278994439	FALSE
"ENSG00000198932.13-GPRASP1"	3.64949290320173	6.9844114862228	6.4054345475157	2.40394239619085e-07	8.41406549137865e-05	6.94747266757674	"ENSG00000198932.13-GPRASP1"	TRUE	4.07499411194896	TRUE
"ENSG00000228288.7-PCAT6"	11.9005065033858	21.1748805486135	6.40026398284193	2.44142552050621e-07	8.45135662873254e-05	6.93282285218322	"ENSG00000228288.7-PCAT6"	TRUE	4.07307357163231	TRUE
"ENSG00000132854.19-KANK4"	1.50237945061371	2.51481437034302	6.39593863742947	2.47323295993436e-07	8.46840342074916e-05	6.92056644486549	"ENSG00000132854.19-KANK4"	TRUE	4.07219846108815	TRUE
"ENSG00000159128.14-IFNGR2"	10.036334980963	45.3320708780587	6.38832433836917	2.53024345224589e-07	8.57045150421482e-05	6.89898738142036	"ENSG00000159128.14-IFNGR2"	TRUE	4.0669962981907	TRUE
"ENSG00000049239.12-H6PD"	4.05394844048217	10.6850337477682	6.38393562448452	2.56370209219712e-07	8.59140208577677e-05	6.88654795991121	"ENSG00000049239.12-H6PD"	TRUE	4.06593595509464	TRUE
"ENSG00000111678.11-C12orf57"	80.6212834913433	275.256075648784	6.36484220001096	2.71452799308908e-07	8.98149147605458e-05	6.83241480162834	"ENSG00000111678.11-C12orf57"	TRUE	4.04665153793902	TRUE
"ENSG00000198270.13-TMEM116"	3.42588166003194	12.0753072966426	6.3620733529942	2.7371295568434e-07	8.98149147605458e-05	6.82456269701916	"ENSG00000198270.13-TMEM116"	TRUE	4.04665153793902	TRUE
"ENSG00000119632.4-IFI27L2"	18.830979826966	61.1843162805956	6.34260115328312	2.9015182891085e-07	9.42275542527906e-05	6.76932825401743	"ENSG00000119632.4-IFI27L2"	TRUE	4.02582208117624	TRUE
"ENSG00000104765.16-BNIP3L"	21.44481158229	118.591609126357	6.32718375463493	3.03869585591238e-07	9.68970658580074e-05	6.72557876979227	"ENSG00000104765.16-BNIP3L"	TRUE	4.01368937363004	TRUE
"ENSG00000168309.18-FAM107A"	-3.56045503106169	4.12026273364005	-6.32499543401361	3.05868852498214e-07	9.68970658580074e-05	6.71936785112032	"ENSG00000168309.18-FAM107A"	TRUE	4.01368937363004	FALSE
"ENSG00000164751.15-PEX2"	12.9476438304264	46.7690014382312	6.32311221594376	3.0759996780422e-07	9.68970658580074e-05	6.71402264361407	"ENSG00000164751.15-PEX2"	TRUE	4.01368937363004	TRUE
"ENSG00000170271.11-FAXDC2"	4.47387875532335	8.16870756516042	6.31748173138919	3.12834711556701e-07	9.75703588984913e-05	6.69804014090974	"ENSG00000170271.11-FAXDC2"	TRUE	4.0106820975175	TRUE
"ENSG00000213760.10-ATP6V1G2"	3.51255786152073	6.63329000955323	6.30288491116817	3.26826808991575e-07	9.99985147608578e-05	6.65659717224256	"ENSG00000213760.10-ATP6V1G2"	TRUE	4.00000645035954	TRUE
"ENSG00000182463.16-TSHZ2"	4.17415664992649	4.75149678879381	6.30273993577363	3.26968890523106e-07	9.99985147608578e-05	6.65618549717747	"ENSG00000182463.16-TSHZ2"	TRUE	4.00000645035954	TRUE
"ENSG00000176593.8-AC008969.1"	4.48015170811499	13.4470227227052	6.29523483137254	3.34409688101643e-07	0.000101290765239326	6.63487214250427	"ENSG00000176593.8-AC008969.1"	TRUE	3.99443014781269	TRUE
"ENSG00000105605.7-CACNG7"	27.7302343389912	60.7328478800923	6.27552729962853	3.54769483141756e-07	0.000106434223699509	6.57888996372998	"ENSG00000105605.7-CACNG7"	TRUE	3.97291870311257	TRUE
"ENSG00000130714.16-POMT1"	15.9916497490112	40.1361550091246	6.26340552287845	3.67907148141997e-07	0.000109334368619067	6.54444507056484	"ENSG00000130714.16-POMT1"	TRUE	3.96124329865964	TRUE
"ENSG00000234664.1-HMGN2P5"	110.327954690482	221.49133853049	6.24594815211276	3.87692168367003e-07	0.000112955976907501	6.49482404051153	"ENSG00000234664.1-HMGN2P5"	TRUE	3.94709078405065	TRUE
"ENSG00000177700.6-POLR2L"	-28.5760646270117	122.466916054669	-6.24324403827082	3.90851131167825e-07	0.000112955976907501	6.48713630878694	"ENSG00000177700.6-POLR2L"	TRUE	3.94709078405065	FALSE
"ENSG00000186960.12-LINC01551"	43.3792891060427	56.8138766553203	6.22106861288686	4.17752599344549e-07	0.000119632951199569	6.42407691715103	"ENSG00000186960.12-LINC01551"	TRUE	3.9221491836156	TRUE
"ENSG00000147394.18-ZNF185"	6.40530648861557	14.2964494090838	6.20830380467052	4.34074271923041e-07	0.000123187149908538	6.38776605876924	"ENSG00000147394.18-ZNF185"	TRUE	3.90943459261702	TRUE
"ENSG00000244716.3-BX679664.3"	33.4389491806036	54.9660279663944	6.18661790099456	4.63286327051562e-07	0.000129294390110735	6.32605848341457	"ENSG00000244716.3-BX679664.3"	TRUE	3.88842031809568	TRUE
"ENSG00000152117.17-AC073869.1"	10.4118431562807	18.4622629464627	6.18522043006646	4.65235200186301e-07	0.000129294390110735	6.32208112127001	"ENSG00000152117.17-AC073869.1"	TRUE	3.88842031809568	TRUE
"ENSG00000179104.9-TMTC2"	4.68822276515458	10.7232045674544	6.16256568736525	4.98003573334012e-07	0.000136414004900823	6.25758930037609	"ENSG00000179104.9-TMTC2"	TRUE	3.86514104068452	TRUE
"ENSG00000286106.1-AC253572.1"	2.33775452438229	1.9338158518505	6.11009316411675	5.83091258211918e-07	0.00015806594607439	6.10811815002078	"ENSG00000286106.1-AC253572.1"	TRUE	3.80116168493808	TRUE
"ENSG00000158164.7-TMSB15A"	352.408829596338	601.49397323991	6.10782422230399	5.87083447849388e-07	0.00015806594607439	6.10165201871862	"ENSG00000158164.7-TMSB15A"	TRUE	3.80116168493808	TRUE
"ENSG00000178585.15-CTNNBIP1"	25.5875149569159	68.1191771148531	6.10456498196782	5.92866161294091e-07	0.00015827014361801	6.09236328126877	"ENSG00000178585.15-CTNNBIP1"	TRUE	3.80060100355129	TRUE
"ENSG00000066032.18-CTNNA2"	3.2887036902799	9.71248260491504	6.07366987038169	6.50605051041994e-07	0.000172224451368688	6.0042896575785	"ENSG00000066032.18-CTNNA2"	TRUE	3.76390519004471	TRUE
"ENSG00000287725.1-AP003071.5"	1.01609564077417	1.85081018388747	6.05894388017473	6.80081457426047e-07	0.000178527049919816	5.96229531088286	"ENSG00000287725.1-AP003071.5"	TRUE	3.74829597147961	TRUE
"ENSG00000127415.13-IDUA"	7.78982408585979	10.3581879987913	6.0425904201692	7.14390005236294e-07	0.000185210850956785	5.91564930596333	"ENSG00000127415.13-IDUA"	TRUE	3.73233357287759	TRUE
"ENSG00000270048.1-AC068790.4"	-1.59878323825031	0.883808830005467	-6.04123899327785	7.17301794124877e-07	0.000185210850956785	5.91179405819126	"ENSG00000270048.1-AC068790.4"	TRUE	3.73233357287759	FALSE
"ENSG00000225177.6-AL590617.2"	10.0095369478341	9.29084682922268	6.0336430508689	7.33891168925186e-07	0.000187953704978149	5.89012356946386	"ENSG00000225177.6-AL590617.2"	TRUE	3.72594910897275	TRUE
"ENSG00000213123.11-TCTEX1D2"	12.8113346675648	37.6748807671018	6.02224278061935	7.59514893677097e-07	0.000191529461012621	5.85759541901794	"ENSG00000213123.11-TCTEX1D2"	TRUE	3.71776441349108	TRUE
"ENSG00000197381.16-ADARB1"	-4.83165350593369	11.205473497709	-6.02202483194864	7.60013416290837e-07	0.000191529461012621	5.85697350125277	"ENSG00000197381.16-ADARB1"	TRUE	3.71776441349108	FALSE
"ENSG00000250091.3-DNAH10OS"	1.4559605740565	3.45294151989762	6.01638750594283	7.73022656223971e-07	0.000193261799156439	5.84088672296037	"ENSG00000250091.3-DNAH10OS"	TRUE	3.71385398174546	TRUE
"ENSG00000166106.3-ADAMTS15"	-5.69944381080189	5.90462586553916	-6.00118398476345	8.09233145413638e-07	0.000200721679635236	5.79749565080141	"ENSG00000166106.3-ADAMTS15"	TRUE	3.69740571751019	FALSE
